Course;Gender;Height;Weight
PPGEE;F;1,57;45,5
PPGEE;F;1,62;53
PPGEE;F;1,7;57
PPGEE;F;1,62;59
PPGEE;F;1,67;63
PPGEE;F;1,76;78
PPGEE;F;1,64;51
PPGEE;M;1,79;80
PPGEE;M;1,58;58
PPGEE;M;1,74;85
PPGEE;M;1,75;115
PPGEE;M;1,78;71
PPGEE;M;1,71;71
PPGEE;M;1,78;86
PPGEE;M;1,81;80
PPGEE;M;1,79;72
PPGEE;M;1,7;62,5
PPGEE;M;1,82;100
PPGEE;M;1,72;52
PPGEE;M;1,83;84
PPGEE;M;1,7;74
PPGEE;M;1,83;92
PPGEE;M;1,73;60
PPGEE;M;1,69;57,5
PPGEE;M;1,89;87
PPGEE;M;1,63;81
PPGEE;M;1,81;78
PPGEE;M;1,73;68
ENGSIS;F;1,67;53
ENGSIS;F;1,61;55
ENGSIS;F;1,56;43
ENGSIS;M;1,89;80
ENGSIS;M;1,8;97
ENGSIS;M;1,77;78
ENGSIS;M;1,67;65
ENGSIS;M;1,81;110
ENGSIS;M;1,86;110
ENGSIS;M;1,7;63
ENGSIS;M;1,79;64
ENGSIS;M;1,78;84
ENGSIS;M;1,75;57,5
ENGSIS;M;1,7;64
ENGSIS;M;1,82;80
ENGSIS;M;1,83;70
ENGSIS;M;1,84;73
ENGSIS;M;1,69;58
ENGSIS;M;1,75;70
ENGSIS;M;1,76;74,8
ENGSIS;M;1,83;85
