"A1","A2","Dim"
"4.40631362076285e-06","0.0707905836778898","2"
"1.74704471211506","153.276004002818","5"
"2792.07355243493","187746.08076869","15"
"23145.1199688914","415905.583277317","21"
"47308.8664684601","532249.985595931","24"
"70888.0594325154","577991.546090525","26"
"610872.524660724","1903380.08286845","46"
"806521.177673699","2408176.90857124","50"
"1011259.45008996","2683411.02328586","54"
"1014360.55284121","2865264.73270269","55"
"1056714.73209315","2998785.07277613","56"
"1151173.50318336","3067384.60393861","57"
"1163107.20129538","3175444.49241562","58"
"1269518.36319526","3255533.96186715","59"
"1499646.9465354","3682460.71505588","64"
"1759890.69422963","3820109.70463667","66"
"1924641.48949945","4061500.22795148","69"
"1940879.09855267","4074546.33707462","70"
"2204031.76606436","4405683.59101447","73"
"2558033.87749144","4916319.43513402","78"
"2585984.28932504","4901985.38451372","79"
"2983269.60632771","5401482.62136978","82"
"2848107.97475162","5296103.97344189","83"
"3778221.19921054","6085047.64007949","91"
"3548824.16535241","6256133.08186784","92"
"3653445.00423163","6179714.35023394","94"
"4341226.45160442","6477006.79346571","97"
"5471848.48208203","7941502.13279758","113"
"5904048.74451173","8257972.3294823","117"
"6908141.48379202","9381569.27929327","128"
"7585035.90298309","9765768.56367363","131"
"7924916.97107539","10142502.5756787","136"
"8641875.97529318","10968295.2912503","145"
"9289934.85798637","11398149.1245539","149"
