"A1","A2","dim"
2601778.5777513,5594765.11510256,83
3080471.18255914,5958900.86097083,83
2596089.22974539,4828021.22763426,83
3017019.94799919,5744971.32679734,83
2846211.65599772,5293529.14023135,83
3059876.22651374,5618819.52622558,83
3190438.21888305,5540013.51467354,83
3063814.83298075,5450197.33175583,83
3400735.7790713,5962294.26448903,83
2821673.87720913,5049688.64483324,83
2528413.91063677,5483591.7567129,83
2996037.23078276,5859876.09915678,83
2312249.90884699,5538670.10797356,83
3155683.59951637,4466285.71334351,83
2469047.81130275,4724135.35061131,83
2698843.92023235,4447611.73279903,83
2665491.58700596,5403661.04331081,83
2865944.17016691,4023859.84881394,83
2341851.01949773,5379969.14611891,83
2084085.6772081,5702881.44947998,83
3596518.46300428,5338860.05539304,83
2323938.79814533,5827227.13273652,83
2757781.21002844,5841983.30354964,83
2778314.75845501,5280370.26691127,83
3166743.28757706,4968673.30847658,83
2573971.65456245,5750191.21402579,83
3516107.36639183,5708628.56220508,83
2865094.36812558,4841084.596442,83
2987687.15800328,4610185.39675327,83
3081323.81434806,4644172.16572935,83
